CMA,REGION,POP (2021),% Change from 2016,Foreign-Born Population (2021),Foreign-Born Population (2016),% Change from 2016 (Foreign-Born)
Toronto,Ontario,6202225,4.6,2862850,2705550,5.813974977
Montreal,Quebec,4291732,4.6,1022940,936305,9.25286098
Vancouver,British Columbia,2642825,7.3,1089185,989540,10.06983043
Ottawa,Ontario,1135014,9.2,267060,219705,21.55390182
Calgary,Prairies,1481806,6.4,460875,404700,13.88065234
Edmonton,Prairies,1418118,7.3,363910,308605,17.92096693
Quebec City,Quebec,839311,4.1,54855,44550,23.13131313
Winnipeg,Prairies,834678,6.6,207950,181965,14.28021872
Hamilton,Ontario,785184,5,197845,177070,11.73264811
Kitchener–Cambridge–Waterloo,Ontario,575847,9.9,146575,118615,23.57206087
London,Ontario,543551,10,115600,94690,22.08258528
Halifax,Atlantic,465703,9.1,51485,37205,38.38193791
St. Catharines–Niagara,Ontario,433604,6.8,76300,67195,13.55011534
Windsor,Ontario,422630,6,96910,74495,30.08926774
Oshawa,Ontario,415311,9.3,91815,67575,35.87125416
Victoria,British Columbia,397237,8,73345,65610,11.78936138
Saskatoon,Prairies,317480,7.6,56070,45155,24.17229543
Regina,Prairies,249217,5.3,46050,36910,24.76293687
Sherbrooke,Quebec,227398,7.2,16730,14550,14.98281787
Kelowna,British Columbia,222162,14,31575,26455,19.35361935
Barrie,Ontario,212856,8,35340,26135,35.22096805
St. John's,Atlantic,212579,2,9505,8135,16.84081131
Abbotsford–Mission,British Columbia,195726,8.4,50085,43775,14.41462022
Kingston,Ontario,172546,7.1,20295,18400,10.29891304
Greater Sudbury,Ontario,170605,2.8,9985,9360,6.677350427
Gatineau,Quebec,353293,6.3,46785,36095,29.61629034
