CMA,REGION,POP (2021),RECENT IMMIGRANTS-AMERICAS,RECENT IMMIGRANTS-EUROPE,RECENT IMMIGRANTS-AFRICA,RECENT IMMIGRANTS-ASIA,RECENT IMMIGRANTS-OCEANIA & OTHER,RECENT IMMIGRANTS-AMERICAS (PER CAPITA),RECENT IMMIGRANTS-EUROPE (PER CAPITA),RECENT IMMIGRANTS-AFRICA (PER CAPITA),RECENT IMMIGRANTS-ASIA (PER CAPITA),RECENT IMMIGRANTS-OCEANIA & OTHER (PER CAPITA)
Toronto,Ontario,6202225,41605,31540,31755,285510,1270,670.8076537,508.5271818,511.9936797,4603.347992,20.47652254
Montreal,Quebec,4291732,"25,125","25,785","51,425","59,525",400,585.4279811,600.8063877,1198.234186,1386.969177,9.320246465
Vancouver,British Columbia,2642825,16725,18070,7395,110065,2570,632.8455346,683.7380455,279.814214,4164.672273,97.24442595
Ottawa,Ontario,1135014,"5,260","3,800","12,870","26,100",135,463.430407,334.7976325,1133.906718,2299.531107,11.89412642
Calgary,Prairies,1481806,8310,7250,15695,53690,670,560.8021563,489.2678259,1059.180487,3623.28132,45.21509563
Edmonton,Prairies,1418118,6175,5365,14060,48685,415,435.4362613,378.3183064,991.4548719,3433.071155,29.2641374
Quebec City,Quebec,839311,1575,2240,7215,1275,15,187.6539209,266.8855764,859.6336757,151.9103169,1.787180199
Winnipeg,Prairies,834678,3630,2900,9485,30405,80,434.8982482,347.4393718,1136.366359,3642.722104,9.584534395
Hamilton,Ontario,785184,"3,435","2,690","3,940","16,390",90,437.4770754,342.5948567,501.7932103,2087.408811,11.46228145
Kitchener–Cambridge–Waterloo,Ontario,575847,"2,770","1,995","5,525","17,400",100,481.0305515,346.4461914,959.4562445,3021.635955,17.36572388
London,Ontario,543551,"2,890","1,090","2,375","14,080",50,531.6888388,200.5331606,436.9415197,2590.373304,9.198768837
Halifax,Atlantic,465703,"1,555","1,635","3,205","11,665",75,333.9037971,351.0821275,688.2068615,2504.815301,16.10468475
St. Catharines–Niagara,Ontario,433604,"1,770",780,930,"4,690",50,408.2065664,179.8876394,214.4814162,1081.632088,11.53125894
Windsor,Ontario,422630,"2,250",615,"1,850","11,100",10,532.3805693,145.5173556,437.7351348,2626.410809,2.366135864
Oshawa,Ontario,415311,"1,885",640,"1,145","7,840",50,453.8767333,154.1013843,275.6970078,1887.741957,12.03917065
Victoria,British Columbia,397237,"1,430","1,350",815,"6,290",190,359.9866075,339.8474966,205.1671924,1583.437595,47.83038841
Saskatoon,Prairies,317480,"1,045","1,070","3,065","12,255",80,329.1545924,337.0291042,965.4151443,3860.085675,25.1984377
Regina,Prairies,249217,815,790,"2,770","10,580",25,327.0242399,316.9928215,1111.481159,4245.296268,10.0314184
Sherbrooke,Quebec,227398,525,745,"1,325","1,550",0,230.8727429,327.6194162,582.6788274,681.6242887,0
Kelowna,British Columbia,222162,855,830,145,"2,290",175,384.8542955,373.6012459,65.26768754,1030.779341,78.77134704
Barrie,Ontario,212856,575,705,455,"2,395",25,270.1356786,331.209832,213.759537,1125.173826,11.7450295
St. John's,Atlantic,212579,310,275,760,"1,720",10,145.8281392,129.3636719,357.5141477,809.1109658,4.704133522
Abbotsford–Mission,British Columbia,195726,405,440,500,"5,410",85,206.9219215,224.8040628,255.4591623,2764.068136,43.42805759
Kingston,Ontario,172546,370,245,430,"1,670",15,214.4355708,141.9911212,249.2089066,967.8578466,8.693333952
Greater Sudbury,Ontario,170605,285,75,605,665,25,167.0525483,43.96119692,354.6203218,389.7892793,14.65373231
Gatineau,Quebec,353293,"1,240","1,220","4,720","2,910",35,350.9834613,345.3224377,1336.001562,823.6789294,9.906791247
